folder_sk,compaction_id,is_bottom,prefix,seen,tombstones_seen,dropped,bytes_total,bytes_max,bytes_p10,bytes_p50,bytes_p90,bytes_p99,bytes_hist,blocks_dropped,blocks_kept,refs_dropped,refs_kept,reverse_refs_tombstoned,reverse_refs_kept,inbox_tombstoned,inbox_kept,seqs_pruned,seqs_kept,tombstones_pruned,files_kept,metadata_kept,kept
folder_0000000D,1,true,mb,247,0,0,741,3,<8,<8,<8,<8,<8:247,0,0,0,247,0,247,0,3,389,0,365,24,2,523
folder_0000000D,1,true,md,1,0,0,14,14,<32,<32,<32,<32,<32:1,0,0,0,247,0,247,0,3,389,0,365,24,2,523
folder_0000000D,1,true,mi,3,0,0,3979,1567,<1k,<2k,<2k,<2k,"<1k:1,<2k:2",0,0,0,247,0,247,0,3,389,0,365,24,2,523
folder_0000000D,1,true,mn,389,0,365,66501,3296,<128,<512,<512,<1k,"<128:52,<512:332,<1k:3,<2k:1,<4k:1",0,0,0,247,0,247,0,3,389,0,365,24,2,523
folder_0000000D,1,true,mr,247,0,0,0,0,<8,<8,<8,<8,<8:247,0,0,0,247,0,247,0,3,389,0,365,24,2,523
folder_0000000D,1,true,ms,389,0,389,27912,115,<32,<128,<128,<128,"<8:1,<32:38,<128:350",0,0,0,247,0,247,0,3,389,0,365,24,2,523
folder_0000000D,1,true,mx,1,0,0,6,6,<8,<8,<8,<8,<8:1,0,0,0,247,0,247,0,3,389,0,365,24,2,523
folder_0000000E,1,true,mb,258,0,236,774,3,<8,<8,<8,<8,<8:258,0,0,236,22,236,22,0,156,292,0,87,205,2,407
folder_0000000E,1,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,236,22,236,22,0,156,292,0,87,205,2,407
folder_0000000E,1,true,mi,156,0,0,501245,76818,<128,<512,<4k,<128k,"<128:54,<512:81,<1k:1,<2k:2,<3k:1,<4k:2,<8k:3,<16k:6,<64k:3,<128k:3",0,0,236,22,236,22,0,156,292,0,87,205,2,407
folder_0000000E,1,true,mn,292,0,87,39642,2117,<128,<128,<512,<1k,"<128:209,<512:78,<1k:3,<2k:1,<3k:1",0,0,236,22,236,22,0,156,292,0,87,205,2,407
folder_0000000E,1,true,mr,258,0,236,0,0,<8,<8,<8,<8,<8:258,0,0,236,22,236,22,0,156,292,0,87,205,2,407
folder_0000000E,1,true,ms,292,0,292,12718,111,<32,<128,<128,<128,"<8:1,<32:105,<128:186",0,0,236,22,236,22,0,156,292,0,87,205,2,407
folder_0000000E,1,true,mx,1,0,0,6,6,<8,<8,<8,<8,<8:1,0,0,236,22,236,22,0,156,292,0,87,205,2,407
folder_0000000E,2,true,mb,333,0,304,999,3,<8,<8,<8,<8,<8:333,0,0,304,29,304,29,0,128,28,0,19,214,2,402
folder_0000000E,2,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,304,29,304,29,0,128,28,0,19,214,2,402
folder_0000000E,2,true,mi,128,0,0,499015,76818,<128,<512,<8k,<128k,"<128:35,<512:72,<1k:1,<2k:2,<3k:1,<4k:2,<8k:3,<16k:6,<64k:3,<128k:3",0,0,304,29,304,29,0,128,28,0,19,214,2,402
folder_0000000E,2,true,mn,233,0,19,37426,2791,<128,<128,<512,<2k,"<128:141,<512:86,<1k:3,<2k:1,<3k:2",0,0,304,29,304,29,0,128,28,0,19,214,2,402
folder_0000000E,2,true,mr,333,0,304,0,0,<8,<8,<8,<8,<8:333,0,0,304,29,304,29,0,128,28,0,19,214,2,402
folder_0000000E,2,true,ms,28,0,28,738,36,<32,<32,<32,<128,"<32:27,<128:1",0,0,304,29,304,29,0,128,28,0,19,214,2,402
folder_0000000E,2,true,mx,1,0,0,6,6,<8,<8,<8,<8,<8:1,0,0,304,29,304,29,0,128,28,0,19,214,2,402
folder_0000000E,3,true,mb,440,0,401,1320,3,<8,<8,<8,<8,<8:440,0,0,401,39,401,39,0,721,67,0,52,229,2,1030
folder_0000000E,3,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,401,39,401,39,0,721,67,0,52,229,2,1030
folder_0000000E,3,true,mi,721,0,0,751494,76818,<128,<512,<512,<64k,"<128:256,<512:432,<1k:6,<2k:3,<3k:2,<4k:2,<8k:4,<16k:7,<32k:1,<64k:4,<128k:4",0,0,401,39,401,39,0,721,67,0,52,229,2,1030
folder_0000000E,3,true,mn,281,0,52,47132,3629,<128,<128,<512,<3k,"<128:174,<512:100,<1k:3,<2k:1,<3k:2,<4k:1",0,0,401,39,401,39,0,721,67,0,52,229,2,1030
folder_0000000E,3,true,mr,440,0,401,0,0,<8,<8,<8,<8,<8:440,0,0,401,39,401,39,0,721,67,0,52,229,2,1030
folder_0000000E,3,true,ms,67,0,67,1878,68,<32,<32,<32,<128,"<32:62,<128:5",0,0,401,39,401,39,0,721,67,0,52,229,2,1030
folder_0000000E,3,true,mx,1,0,0,6,6,<8,<8,<8,<8,<8:1,0,0,401,39,401,39,0,721,67,0,52,229,2,1030
folder_0000000E,4,true,mb,462,0,404,1386,3,<8,<8,<8,<8,<8:462,0,0,404,58,407,59,0,634,87,0,57,259,2,1012
folder_0000000E,4,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,404,58,407,59,0,634,87,0,57,259,2,1012
folder_0000000E,4,true,mi,634,0,0,742484,76818,<128,<512,<512,<64k,"<128:200,<512:401,<1k:6,<2k:3,<3k:2,<4k:2,<8k:4,<16k:7,<32k:1,<64k:4,<128k:4",0,0,404,58,407,59,0,634,87,0,57,259,2,1012
folder_0000000E,4,true,mn,316,0,57,66037,3638,<128,<128,<512,<3k,"<128:178,<512:126,<1k:4,<2k:1,<3k:4,<4k:3",0,0,404,58,407,59,0,634,87,0,57,259,2,1012
folder_0000000E,4,true,mr,466,0,407,0,0,<8,<8,<8,<8,<8:466,0,0,404,58,407,59,0,634,87,0,57,259,2,1012
folder_0000000E,4,true,ms,87,0,87,2516,68,<32,<32,<128,<128,"<32:77,<128:10",0,0,404,58,407,59,0,634,87,0,57,259,2,1012
folder_0000000E,4,true,mx,1,0,0,6,6,<8,<8,<8,<8,<8:1,0,0,404,58,407,59,0,634,87,0,57,259,2,1012
folder_0000000E,5,true,bd,1760,0,1703,231776024,262144,>=128k,>=128k,>=128k,>=128k,"<8k:11,<16k:9,<32k:12,<64k:15,<128k:7,>=128k:1706",1703,57,0,0,0,0,0,0,0,0,0,0,0,57
folder_0000000E,6,true,mb,522,0,407,1566,3,<8,<8,<8,<8,<8:522,0,0,407,115,407,130,0,374,260,0,153,366,2,987
folder_0000000E,6,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,407,115,407,130,0,374,260,0,153,366,2,987
folder_0000000E,6,true,mi,374,0,0,711303,76818,<128,<512,<512,<128k,"<128:49,<512:292,<1k:5,<2k:4,<3k:2,<4k:2,<8k:4,<16k:7,<32k:1,<64k:4,<128k:4",0,0,407,115,407,130,0,374,260,0,153,366,2,987
