folder_sk,compaction_id,is_bottom,prefix,seen,tombstones_seen,dropped,bytes_total,bytes_max,bytes_p10,bytes_p50,bytes_p90,bytes_p99,bytes_hist,blocks_dropped,blocks_kept,refs_dropped,refs_kept,reverse_refs_tombstoned,reverse_refs_kept,inbox_tombstoned,inbox_kept,seqs_pruned,seqs_kept,tombstones_pruned,files_kept,metadata_kept,kept
folder_0000000B,1,true,mb,19420,0,0,70232,4,<8,<8,<8,<8,<8:19420,0,0,0,19420,0,19618,0,36,439,0,0,4232,2,43308
folder_0000000B,1,true,md,1,0,0,14,14,<32,<32,<32,<32,<32:1,0,0,0,19420,0,19618,0,36,439,0,0,4232,2,43308
folder_0000000B,1,true,mi,36,0,0,61112,50579,<512,<512,<512,<64k,"<512:35,<64k:1",0,0,0,19420,0,19618,0,36,439,0,0,4232,2,43308
folder_0000000B,1,true,mn,4232,0,0,2238820,83316,<512,<512,<512,<4k,"<128:129,<512:3761,<1k:148,<2k:95,<3k:38,<4k:38,<8k:6,<16k:6,<32k:2,<64k:5,<128k:4",0,0,0,19420,0,19618,0,36,439,0,0,4232,2,43308
folder_0000000B,1,true,mr,19618,0,0,0,0,<8,<8,<8,<8,<8:19618,0,0,0,19420,0,19618,0,36,439,0,0,4232,2,43308
folder_0000000B,1,true,ms,439,0,439,52241,119,<128,<128,<128,<128,<128:439,0,0,0,19420,0,19618,0,36,439,0,0,4232,2,43308
folder_0000000B,1,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,0,19420,0,19618,0,36,439,0,0,4232,2,43308
folder_0000000B,2,true,mb,20834,0,0,74536,4,<8,<8,<8,<8,<8:20834,0,0,0,20834,0,21032,0,121,216,0,8,4432,2,46421
folder_0000000B,2,true,md,1,0,0,14,14,<32,<32,<32,<32,<32:1,0,0,0,20834,0,21032,0,121,216,0,8,4432,2,46421
folder_0000000B,2,true,mi,121,0,0,283683,68070,<128,<512,<512,<64k,"<128:60,<512:50,<2k:1,<3k:1,<4k:1,<8k:2,<16k:2,<64k:3,<128k:1",0,0,0,20834,0,21032,0,121,216,0,8,4432,2,46421
folder_0000000B,2,true,mn,4440,0,8,2270781,83316,<512,<512,<512,<4k,"<128:257,<512:3840,<1k:148,<2k:95,<3k:39,<4k:38,<8k:6,<16k:6,<32k:2,<64k:5,<128k:4",0,0,0,20834,0,21032,0,121,216,0,8,4432,2,46421
folder_0000000B,2,true,mr,21032,0,0,0,0,<8,<8,<8,<8,<8:21032,0,0,0,20834,0,21032,0,121,216,0,8,4432,2,46421
folder_0000000B,2,true,ms,216,0,216,13576,119,<32,<128,<128,<128,"<32:36,<128:180",0,0,0,20834,0,21032,0,121,216,0,8,4432,2,46421
folder_0000000B,2,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,0,20834,0,21032,0,121,216,0,8,4432,2,46421
folder_0000000B,3,true,mb,21399,0,6,76565,4,<8,<8,<8,<8,<8:21399,0,0,6,21393,6,21591,0,168,99,0,62,4407,2,47561
folder_0000000B,3,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,6,21393,6,21591,0,168,99,0,62,4407,2,47561
folder_0000000B,3,true,mi,168,0,0,527623,77034,<128,<512,<3k,<128k,"<128:71,<512:78,<1k:1,<2k:1,<3k:1,<4k:2,<8k:3,<16k:4,<64k:4,<128k:3",0,0,6,21393,6,21591,0,168,99,0,62,4407,2,47561
folder_0000000B,3,true,mn,4469,0,62,2039948,83316,<512,<512,<512,<4k,"<128:311,<512:3828,<1k:145,<2k:94,<3k:38,<4k:37,<8k:4,<16k:5,<32k:1,<64k:3,<128k:3",0,0,6,21393,6,21591,0,168,99,0,62,4407,2,47561
folder_0000000B,3,true,mr,21597,0,6,0,0,<8,<8,<8,<8,<8:21597,0,0,6,21393,6,21591,0,168,99,0,62,4407,2,47561
folder_0000000B,3,true,ms,99,0,99,3037,40,<32,<32,<128,<128,"<32:57,<128:42",0,0,6,21393,6,21591,0,168,99,0,62,4407,2,47561
folder_0000000B,3,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,6,21393,6,21591,0,168,99,0,62,4407,2,47561
folder_0000000B,4,true,mb,22191,0,0,79374,4,<8,<8,<8,<8,<8:22191,0,0,0,22191,0,22389,0,131,37,0,23,4398,2,49111
folder_0000000B,4,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,0,22191,0,22389,0,131,37,0,23,4398,2,49111
folder_0000000B,4,true,mi,131,0,0,460453,77494,<128,<512,<4k,<128k,"<128:48,<512:67,<1k:1,<2k:1,<4k:2,<8k:2,<16k:3,<32k:1,<64k:3,<128k:3",0,0,0,22191,0,22389,0,131,37,0,23,4398,2,49111
folder_0000000B,4,true,mn,4421,0,23,1930181,83316,<512,<512,<512,<4k,"<128:272,<512:3822,<1k:144,<2k:94,<3k:38,<4k:37,<8k:5,<16k:3,<32k:1,<64k:3,<128k:2",0,0,0,22191,0,22389,0,131,37,0,23,4398,2,49111
folder_0000000B,4,true,mr,22389,0,0,0,0,<8,<8,<8,<8,<8:22389,0,0,0,22191,0,22389,0,131,37,0,23,4398,2,49111
folder_0000000B,4,true,ms,37,0,37,1106,45,<32,<32,<128,<128,"<32:25,<128:12",0,0,0,22191,0,22389,0,131,37,0,23,4398,2,49111
folder_0000000B,4,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,0,22191,0,22389,0,131,37,0,23,4398,2,49111
folder_0000000B,5,true,mb,22993,0,2210,82106,4,<8,<8,<8,<8,<8:22993,0,0,2210,20783,2210,20981,0,692,99,0,65,4367,2,46825
folder_0000000B,5,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,2210,20783,2210,20981,0,692,99,0,65,4367,2,46825
folder_0000000B,5,true,mi,692,0,0,700662,77494,<128,<512,<512,<64k,"<128:256,<512:410,<1k:6,<2k:2,<3k:1,<4k:1,<8k:2,<16k:4,<32k:2,<64k:4,<128k:4",0,0,2210,20783,2210,20981,0,692,99,0,65,4367,2,46825
folder_0000000B,5,true,mn,4432,0,65,1831406,83316,<512,<512,<512,<4k,"<128:314,<512:3803,<1k:140,<2k:92,<3k:38,<4k:32,<8k:5,<16k:3,<32k:1,<64k:3,<128k:1",0,0,2210,20783,2210,20981,0,692,99,0,65,4367,2,46825
folder_0000000B,5,true,mr,23191,0,2210,0,0,<8,<8,<8,<8,<8:23191,0,0,2210,20783,2210,20981,0,692,99,0,65,4367,2,46825
folder_0000000B,5,true,ms,99,0,99,2747,68,<32,<32,<32,<128,"<32:94,<128:5",0,0,2210,20783,2210,20981,0,692,99,0,65,4367,2,46825
folder_0000000B,5,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,2210,20783,2210,20981,0,692,99,0,65,4367,2,46825
folder_0000000B,6,true,mb,21294,0,2360,76813,4,<8,<8,<8,<8,<8:21294,0,0,2360,18934,2360,19134,0,652,40,0,20,4367,2,43089
folder_0000000B,6,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,2360,18934,2360,19134,0,652,40,0,20,4367,2,43089
folder_0000000B,6,true,mi,652,0,0,697273,77494,<128,<512,<512,<64k,"<128:236,<512:390,<1k:6,<2k:2,<3k:1,<4k:1,<8k:2,<16k:4,<32k:2,<64k:4,<128k:4",0,0,2360,18934,2360,19134,0,652,40,0,20,4367,2,43089
folder_0000000B,6,true,mn,4387,0,20,1793024,83316,<512,<512,<512,<3k,"<128:269,<512:3805,<1k:142,<2k:92,<3k:37,<4k:32,<8k:4,<16k:2,<64k:3,<128k:1",0,0,2360,18934,2360,19134,0,652,40,0,20,4367,2,43089
folder_0000000B,6,true,mr,21494,0,2360,0,0,<8,<8,<8,<8,<8:21494,0,0,2360,18934,2360,19134,0,652,40,0,20,4367,2,43089
folder_0000000B,6,true,ms,40,0,40,1079,30,<32,<32,<32,<32,<32:40,0,0,2360,18934,2360,19134,0,652,40,0,20,4367,2,43089
folder_0000000B,6,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,2360,18934,2360,19134,0,652,40,0,20,4367,2,43089
folder_0000000B,7,false,bd,1824,0,872,225509374,262144,<128k,>=128k,>=128k,>=128k,"<8k:6,<16k:19,<32k:12,<64k:10,<128k:257,>=128k:1520",872,952,0,0,0,0,0,0,0,0,0,0,0,952
folder_0000000B,8,true,mb,19360,0,2566,70062,4,<8,<8,<8,<8,<8:19360,0,0,2566,16794,2566,17001,0,536,116,0,64,4355,2,38688
folder_0000000B,8,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,2566,16794,2566,17001,0,536,116,0,64,4355,2,38688
folder_0000000B,8,true,mi,536,0,0,680651,77494,<128,<512,<512,<64k,"<128:174,<512:337,<1k:6,<2k:2,<4k:1,<8k:2,<16k:4,<32k:2,<64k:4,<128k:4",0,0,2566,16794,2566,17001,0,536,116,0,64,4355,2,38688
folder_0000000B,8,true,mn,4419,0,64,1777348,83316,<512,<512,<512,<3k,"<128:311,<512:3801,<1k:141,<2k:92,<3k:36,<4k:28,<8k:4,<16k:2,<64k:3,<128k:1",0,0,2566,16794,2566,17001,0,536,116,0,64,4355,2,38688
folder_0000000B,8,true,mr,19567,0,2566,0,0,<8,<8,<8,<8,<8:19567,0,0,2566,16794,2566,17001,0,536,116,0,64,4355,2,38688
folder_0000000B,8,true,ms,116,0,116,3600,71,<32,<32,<128,<128,"<32:82,<128:34",0,0,2566,16794,2566,17001,0,536,116,0,64,4355,2,38688
folder_0000000B,8,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,2566,16794,2566,17001,0,536,116,0,64,4355,2,38688
folder_0000000B,9,true,mb,17286,0,275,62040,4,<8,<8,<8,<8,<8:17286,0,0,275,17011,275,17232,0,328,208,0,115,4333,2,38906
folder_0000000B,9,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,275,17011,275,17232,0,328,208,0,115,4333,2,38906
folder_0000000B,9,true,mi,328,0,0,652071,77494,<128,<512,<512,<128k,"<128:60,<512:244,<1k:6,<2k:2,<8k:2,<16k:4,<32k:2,<64k:4,<128k:4",0,0,275,17011,275,17232,0,328,208,0,115,4333,2,38906
folder_0000000B,9,true,mn,4448,0,115,1680018,57925,<512,<512,<512,<3k,"<128:363,<512:3791,<1k:135,<2k:89,<3k:33,<4k:28,<8k:4,<16k:2,<64k:3",0,0,275,17011,275,17232,0,328,208,0,115,4333,2,38906
folder_0000000B,9,true,mr,17507,0,275,0,0,<8,<8,<8,<8,<8:17507,0,0,275,17011,275,17232,0,328,208,0,115,4333,2,38906
folder_0000000B,9,true,ms,208,0,208,6073,73,<32,<32,<128,<128,"<32:172,<128:36",0,0,275,17011,275,17232,0,328,208,0,115,4333,2,38906
folder_0000000B,9,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,275,17011,275,17232,0,328,208,0,115,4333,2,38906
folder_0000000B,10,true,mb,18099,0,223,65037,4,<8,<8,<8,<8,<8:18099,0,0,223,17876,223,18103,0,101,227,0,113,4334,2,40416
folder_0000000B,10,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,223,17876,223,18103,0,101,227,0,113,4334,2,40416
folder_0000000B,10,true,mi,101,0,0,611604,77494,<512,<512,<16k,<128k,"<128:1,<512:79,<1k:4,<2k:2,<8k:1,<16k:4,<32k:2,<64k:4,<128k:4",0,0,223,17876,223,18103,0,101,227,0,113,4334,2,40416
folder_0000000B,10,true,mn,4447,0,113,1675486,57925,<512,<512,<512,<3k,"<128:308,<512:3851,<1k:133,<2k:88,<3k:31,<4k:26,<8k:5,<16k:2,<64k:3",0,0,223,17876,223,18103,0,101,227,0,113,4334,2,40416
folder_0000000B,10,true,mr,18326,0,223,0,0,<8,<8,<8,<8,<8:18326,0,0,223,17876,223,18103,0,101,227,0,113,4334,2,40416
folder_0000000B,10,true,ms,227,0,227,13226,129,<32,<128,<128,<128,"<8:1,<32:104,<128:121,<512:1",0,0,223,17876,223,18103,0,101,227,0,113,4334,2,40416
folder_0000000B,10,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,223,17876,223,18103,0,101,227,0,113,4334,2,40416
folder_0000000B,11,true,mb,19053,0,0,68772,4,<8,<8,<8,<8,<8:19053,0,0,0,19053,0,19291,0,857,244,0,123,4332,2,43535
folder_0000000B,11,true,md,1,0,0,15,15,<32,<32,<32,<32,<32:1,0,0,0,19053,0,19291,0,857,244,0,123,4332,2,43535
folder_0000000B,11,true,mi,857,0,0,777908,77494,<512,<512,<512,<32k,"<128:2,<512:823,<1k:16,<2k:1,<8k:1,<16k:4,<32k:2,<64k:4,<128k:4",0,0,0,19053,0,19291,0,857,244,0,123,4332,2,43535
folder_0000000B,11,true,mn,4455,0,123,1619730,57925,<512,<512,<512,<3k,"<128:250,<512:3919,<1k:134,<2k:89,<3k:30,<4k:24,<8k:5,<16k:2,<64k:2",0,0,0,19053,0,19291,0,857,244,0,123,4332,2,43535
folder_0000000B,11,true,mr,19291,0,0,0,0,<8,<8,<8,<8,<8:19291,0,0,0,19053,0,19291,0,857,244,0,123,4332,2,43535
folder_0000000B,11,true,ms,244,0,244,22812,129,<128,<128,<128,<128,"<32:2,<128:240,<512:2",0,0,0,19053,0,19291,0,857,244,0,123,4332,2,43535
folder_0000000B,11,true,mx,1,0,0,7,7,<8,<8,<8,<8,<8:1,0,0,0,19053,0,19291,0,857,244,0,123,4332,2,43535
